,product_name,sale_price,regular_price,category
2812,lc lauren conrad butterfly ... bypass ring,12.6,18.0,ring
2813,lc lauren conrad blue ... simulated stone ring set,12.6,18.0,ring
2814,peach simulated crystal double ... row stretch bracelet,10.8,18.0,bracelet
2815,silver tone casting chain ... layered multi strand necklace,15.6,26.0,necklace
2816,hammered drop pendant necklace ... & stud earring set,18.0,30.0,earring
2817,pink simulated crystal ... graduated stick necklace,15.6,26.0,necklace
2818,napier filigree square clip-on ... earrings,9.6,16.0,earring
2819,simply vera vera wang cubic ... zirconia stud earring set,12.0,20.0,earring
2820,simply vera vera wang fireball ... & chain drop earrings,10.8,18.0,earring
2821,napier simulated crystal hoop ... earrings,8.4,14.0,earring
2822,dana buchman doorknocker hoop ... drop earrings,9.8,14.0,earring
